,0
0,tweethsabusivehs_individualhs_grouphs_religionhs_racehs_physicalhs_genderhs_otherhs_weakhs_moderatehs_strong
1,disaat semua cowok berusaha melacak perhatian gue
2,rt user
3,user user aku itu akuku tau matamu sipit tapi diliat dari mana itu aku
4,user user kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah
5,user ya bani taplak dkk
6,deklarasi pilkada  aman dan anti hoax warga dukuh sari jabon
7,gue baru aja kelar rewatch aldnoah zero!!! paling xxx emang endingnya!  karakter utama cowonya kena friendzone bray! xd url
8,nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kaw kaw
9,user enak lg klo smbil xxx
10,setidaknya gw punya jari tengah buat lu sebelom gw ukur nyali sama xxx lu
11,user user user user banci kaleng malu ga bisa jawab pertanyaan kami dari  hari lalu
12,kalo belajar ekonomi mestinya jago memprivatisasi hati orang
13,aktor huruhara  prabowo s ingin lengserkan pemerintahan jokowi
14,user bu guru enakan jadi jablay atau guru esde sih
15,user user user user user user lawan bicara gw gak intelek kyk loe yg otak gak punya
16,belakangan ini kok fikiran ampas banget ya
17,ari sarua beki mah repeh xxx
18,jadi cowo itu harus gantle kalo ga gantle itu namanya banci !
19,user slga mnr bom
20,asw ya tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin
21,user kalo kamu noob pasti peluang disakitin nya lebih gede si
22,user joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia
23,pelajar sma kec bilah hilir deklarasi anti hoax &amp
24,bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat
25,siapapun gubernur dan presidennya rakyatnya ya kitaâ² juga
26,ini si user kerjaannya delay mulu! setan!
27,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget
28,rt user user user pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong
29,user user itu mah sdh neneknenek sy heran sama cebong biasay bohong terus
30,user user user user user user user user user islam nusantara produk jil dipasarkan dg gencar oleh antek
31,dari habis sahur sampe jam
